function_count,parameter_count,variable_count,declaration_count,if_count,for_count,while_count,switch_count,return_count,call_count,argument_count,assignment_count,binary_expression_count,identifier_count,block_count,expression_count,literal_count,ast_nodes,leaf_nodes,internal_nodes,max_depth,leaf_ratio,internal_ratio,branch_density,call_density,identifier_density,expression_density,variable_density,statement_density,nesting_factor,cyclomatic_estimate,avg_parameters,language,repository,function
1,2,2,1,1,0,0,0,0,4,4,0,1,15,2,2,2,77,53,24,10,0.6883116883116883,0.3116883116883117,0.012987012987012988,0.05194805194805195,0.19480519480519481,0.025974025974025976,0.025974025974025976,0.025974025974025976,0.12987012987012986,2,2.0,java,molgenis/molgenis,L1Cache.put
1,0,7,4,1,1,0,0,1,1,1,0,4,19,2,1,3,97,64,33,9,0.6597938144329897,0.3402061855670103,0.020618556701030927,0.010309278350515464,0.1958762886597938,0.010309278350515464,0.07216494845360824,0.010309278350515464,0.09278350515463918,3,0.0,java,belaban/JGroups,RequestTable.size
1,3,8,4,0,0,0,0,0,17,19,0,0,42,1,3,16,283,206,77,13,0.7279151943462897,0.27208480565371024,0.0,0.06007067137809187,0.14840989399293286,0.01060070671378092,0.028268551236749116,0.01060070671378092,0.045936395759717315,1,3.0,java,googleads/googleads-java-lib,DownloadCriteriaReportWithAwql.runExample
1,4,0,0,0,0,0,0,1,2,2,0,0,12,1,0,0,68,47,21,8,0.6911764705882353,0.3088235294117647,0.0,0.029411764705882353,0.17647058823529413,0.0,0.0,0.0,0.11764705882352941,1,4.0,java,Azure/azure-sdk-for-java,NetworkInterfacesInner.updateTagsAsync
2,6,4,2,6,0,0,0,3,12,20,0,6,47,10,1,12,427,293,134,16,0.6861826697892272,0.31381733021077285,0.01405152224824356,0.02810304449648712,0.11007025761124122,0.00234192037470726,0.00936768149882904,0.00234192037470726,0.03747072599531616,7,3.0,java,Azure/azure-sdk-for-java,BlobContainersInner.extendImmutabilityPolicyWithServiceResponseAsync
1,0,2,1,0,0,0,0,2,7,7,2,2,15,5,2,2,121,76,45,14,0.628099173553719,0.371900826446281,0.0,0.05785123966942149,0.12396694214876033,0.01652892561983471,0.01652892561983471,0.01652892561983471,0.11570247933884298,1,0.0,java,teatrove/teatrove,CompiledTemplate.getTemplateClass
1,2,16,8,5,0,1,0,1,45,48,1,10,127,16,11,12,683,472,211,16,0.6910688140556369,0.3089311859443631,0.008784773060029283,0.06588579795021962,0.18594436310395315,0.016105417276720352,0.02342606149341142,0.016105417276720352,0.02342606149341142,7,2.0,java,alkacon/opencms-core,CmsSearchReplaceThread.searchResources
1,1,0,0,0,0,0,0,1,1,1,0,3,11,1,0,3,60,40,20,10,0.6666666666666666,0.3333333333333333,0.0,0.016666666666666666,0.18333333333333332,0.0,0.0,0.0,0.16666666666666666,1,1.0,java,Devskiller/jfairy,PlNationalIdentificationNumberProvider.calculateSexCode
1,5,20,10,1,0,0,0,1,19,27,5,3,84,3,20,5,391,269,122,12,0.6879795396419437,0.31202046035805625,0.0025575447570332483,0.04859335038363171,0.21483375959079284,0.05115089514066496,0.05115089514066496,0.05115089514066496,0.030690537084398978,2,5.0,java,cdk/cdk,AtomTetrahedralLigandPlacer3D.calculate3DCoordinates3
1,1,4,2,2,0,2,1,3,3,3,2,3,24,4,2,6,157,104,53,12,0.6624203821656051,0.3375796178343949,0.025477707006369428,0.01910828025477707,0.15286624203821655,0.012738853503184714,0.025477707006369428,0.012738853503184714,0.07643312101910828,5,1.0,java,google/j2objc,RedundentExprEliminator.isParam
1,1,2,1,0,0,0,0,0,1,1,3,0,10,1,3,3,57,37,20,7,0.6491228070175439,0.3508771929824561,0.0,0.017543859649122806,0.17543859649122806,0.05263157894736842,0.03508771929824561,0.05263157894736842,0.12280701754385964,1,1.0,java,b3dgs/lionengine,MouseHeadless.mouseReleased
1,0,20,10,7,3,0,0,2,17,18,2,12,69,13,6,14,453,300,153,20,0.6622516556291391,0.33774834437086093,0.02207505518763797,0.037527593818984545,0.152317880794702,0.013245033112582781,0.04415011037527594,0.013245033112582781,0.04415011037527594,11,0.0,java,deeplearning4j/deeplearning4j,BaseSparseNDArrayCOO.getIncludedIndices
1,0,2,1,0,0,0,0,1,3,4,0,0,9,1,1,0,66,43,23,9,0.6515151515151515,0.3484848484848485,0.0,0.045454545454545456,0.13636363636363635,0.015151515151515152,0.030303030303030304,0.015151515151515152,0.13636363636363635,1,0.0,java,alkacon/opencms-core,CmsPublishSelectPanel.getResourcesToRemove
1,0,2,1,0,0,0,0,1,5,5,0,0,15,1,1,0,65,45,20,9,0.6923076923076923,0.3076923076923077,0.0,0.07692307692307693,0.23076923076923078,0.015384615384615385,0.03076923076923077,0.015384615384615385,0.13846153846153847,1,0.0,java,lessthanoptimal/ejml,SimpleBase.transpose
1,2,4,2,2,0,0,0,2,5,6,1,0,20,5,3,3,127,87,40,10,0.6850393700787402,0.31496062992125984,0.015748031496062992,0.03937007874015748,0.15748031496062992,0.023622047244094488,0.031496062992125984,0.023622047244094488,0.07874015748031496,3,2.0,java,HeidelTime/heideltime,StringUtils.join
