function_count,parameter_count,variable_count,declaration_count,if_count,for_count,while_count,switch_count,return_count,call_count,argument_count,assignment_count,binary_expression_count,identifier_count,block_count,expression_count,literal_count,ast_nodes,leaf_nodes,internal_nodes,max_depth,leaf_ratio,internal_ratio,branch_density,call_density,identifier_density,expression_density,variable_density,statement_density,nesting_factor,cyclomatic_estimate,avg_parameters,LOC,language,task_id,task_idx
1,0,1,1,2,2,0,0,2,3,3,1,1,25,5,0,2,100,63,37,13,0.63,0.37,0.04,0.03,0.25,0.0,0.01,0.0,0.13,5,0.0,9,python,Python/0,0
1,0,3,3,2,1,0,0,1,5,5,3,0,30,5,0,7,139,89,50,15,0.6402877697841727,0.3597122302158273,0.02158273381294964,0.03597122302158273,0.2158273381294964,0.0,0.02158273381294964,0.0,0.1079136690647482,4,0.0,16,python,Python/1,1
1,0,0,0,0,0,0,0,1,0,0,0,1,5,1,0,1,23,14,9,5,0.6086956521739131,0.391304347826087,0.0,0.0,0.21739130434782608,0.0,0.0,0.0,0.21739130434782608,1,0.0,2,python,Python/2,2
1,0,1,1,1,1,0,0,2,0,0,1,0,13,3,0,4,59,37,22,8,0.6271186440677966,0.3728813559322034,0.03389830508474576,0.0,0.22033898305084745,0.0,0.01694915254237288,0.0,0.13559322033898305,3,0.0,8,python,Python/3,3
1,0,1,1,0,0,0,0,1,5,4,1,3,20,1,0,0,76,47,29,10,0.618421052631579,0.3815789473684211,0.0,0.06578947368421052,0.2631578947368421,0.0,0.013157894736842105,0.0,0.13157894736842105,1,0.0,4,python,Python/4,4
1,0,1,1,1,1,0,0,2,3,3,1,0,24,3,0,2,111,69,42,8,0.6216216216216216,0.3783783783783784,0.018018018018018018,0.02702702702702703,0.21621621621621623,0.0,0.009009009009009009,0.0,0.07207207207207207,3,0.0,10,python,Python/5,5
2,0,3,3,1,1,0,0,2,3,3,3,0,27,5,0,6,121,79,42,12,0.6528925619834711,0.34710743801652894,0.01652892561983471,0.024793388429752067,0.2231404958677686,0.0,0.024793388429752067,0.0,0.09917355371900827,3,0.0,13,python,Python/6,6
1,0,0,0,0,0,0,0,1,0,0,0,0,15,1,0,0,59,36,23,8,0.6101694915254238,0.3898305084745763,0.0,0.0,0.2542372881355932,0.0,0.0,0.0,0.13559322033898305,1,0.0,3,python,Python/7,7
1,0,2,2,0,1,0,0,1,0,0,2,0,20,2,0,2,71,45,26,8,0.6338028169014085,0.36619718309859156,0.014084507042253521,0.0,0.28169014084507044,0.0,0.028169014084507043,0.0,0.11267605633802817,2,0.0,8,python,Python/8,8
1,0,4,4,1,1,0,0,1,2,2,4,0,24,4,0,2,95,60,35,11,0.631578947368421,0.3684210526315789,0.021052631578947368,0.021052631578947368,0.25263157894736843,0.0,0.042105263157894736,0.0,0.11578947368421053,3,0.0,11,python,Python/9,9
2,0,1,1,1,0,1,0,3,1,1,1,1,19,4,0,6,111,71,40,9,0.6396396396396397,0.36036036036036034,0.018018018018018018,0.009009009009009009,0.17117117117117117,0.0,0.009009009009009009,0.0,0.08108108108108109,3,0.0,10,python,Python/10,10
2,0,0,0,1,0,0,0,3,3,2,0,0,22,4,0,3,100,65,35,10,0.65,0.35,0.01,0.03,0.22,0.0,0.0,0.0,0.1,2,0.0,8,python,Python/11,11
1,0,1,1,2,1,0,0,2,3,2,1,0,22,4,0,1,91,56,35,9,0.6153846153846154,0.38461538461538464,0.03296703296703297,0.03296703296703297,0.24175824175824176,0.0,0.01098901098901099,0.0,0.0989010989010989,4,0.0,8,python,Python/12,12
1,0,1,1,0,0,1,0,1,0,0,1,1,13,2,0,0,44,28,16,8,0.6363636363636364,0.36363636363636365,0.022727272727272728,0.0,0.29545454545454547,0.0,0.022727272727272728,0.0,0.18181818181818182,2,0.0,4,python,Python/13,13
1,0,1,1,0,1,0,0,1,3,3,1,1,17,2,0,1,74,46,28,10,0.6216216216216216,0.3783783783783784,0.013513513513513514,0.04054054054054054,0.22972972972972974,0.0,0.013513513513513514,0.0,0.13513513513513514,2,0.0,6,python,Python/14,14
1,0,0,0,0,0,0,0,1,3,3,0,1,10,1,0,2,52,33,19,11,0.6346153846153846,0.36538461538461536,0.0,0.057692307692307696,0.19230769230769232,0.0,0.0,0.0,0.21153846153846154,1,0.0,2,python,Python/15,15
1,0,0,0,0,0,0,0,1,3,3,0,0,8,1,0,0,37,22,15,10,0.5945945945945946,0.40540540540540543,0.0,0.08108108108108109,0.21621621621621623,0.0,0.0,0.0,0.2702702702702703,1,0.0,2,python,Python/16,16
1,0,1,1,0,0,0,0,1,1,1,1,0,14,1,0,7,88,58,30,9,0.6590909090909091,0.3409090909090909,0.0,0.011363636363636364,0.1590909090909091,0.0,0.011363636363636364,0.0,0.10227272727272728,1,0.0,4,python,Python/17,17
1,0,1,1,1,1,0,0,1,4,4,1,3,21,3,0,3,85,55,30,12,0.6470588235294118,0.35294117647058826,0.023529411764705882,0.047058823529411764,0.24705882352941178,0.0,0.011764705882352941,0.0,0.1411764705882353,3,0.0,6,python,Python/18,18
1,0,1,1,0,0,0,0,1,3,3,1,0,18,1,0,22,164,114,50,13,0.6951219512195121,0.3048780487804878,0.0,0.018292682926829267,0.10975609756097561,0.0,0.006097560975609756,0.0,0.07926829268292683,1,0.0,15,python,Python/19,19
1,0,7,7,3,2,0,0,1,8,8,7,2,46,7,0,3,177,114,63,20,0.6440677966101694,0.3559322033898305,0.02824858757062147,0.04519774011299435,0.2598870056497175,0.0,0.03954802259887006,0.0,0.11299435028248588,6,0.0,16,python,Python/20,20
1,0,2,2,0,0,0,0,1,2,2,2,3,20,1,0,0,80,50,30,8,0.625,0.375,0.0,0.025,0.25,0.0,0.025,0.0,0.1,1,0.0,5,python,Python/21,21
1,0,0,0,0,0,0,0,1,1,1,0,0,15,1,0,0,60,37,23,8,0.6166666666666667,0.38333333333333336,0.0,0.016666666666666666,0.25,0.0,0.0,0.0,0.13333333333333333,1,0.0,3,python,Python/22,22
1,0,0,0,0,0,0,0,1,1,1,0,0,6,1,0,0,25,15,10,6,0.6,0.4,0.0,0.04,0.24,0.0,0.0,0.0,0.24,1,0.0,2,python,Python/23,23
1,0,0,0,1,1,0,0,1,2,2,0,1,11,3,0,1,48,30,18,8,0.625,0.375,0.041666666666666664,0.041666666666666664,0.22916666666666666,0.0,0.0,0.0,0.16666666666666666,3,0.0,4,python,Python/24,24
1,0,2,2,2,0,1,0,1,4,4,2,2,28,5,0,5,120,75,45,10,0.625,0.375,0.025,0.03333333333333333,0.23333333333333334,0.0,0.016666666666666666,0.0,0.08333333333333333,4,0.0,14,python,Python/25,25
1,0,1,1,0,0,0,0,1,1,1,1,0,18,1,0,1,73,45,28,8,0.6164383561643836,0.3835616438356164,0.0,0.0136986301369863,0.2465753424657534,0.0,0.0136986301369863,0.0,0.1095890410958904,1,0.0,5,python,Python/26,26
1,0,0,0,0,0,0,0,1,1,1,0,0,6,1,0,0,27,16,11,6,0.5925925925925926,0.4074074074074074,0.0,0.037037037037037035,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,1,0.0,2,python,Python/27,27
1,0,0,0,0,0,0,0,1,1,1,0,0,9,1,0,1,43,25,18,8,0.5813953488372093,0.4186046511627907,0.0,0.023255813953488372,0.20930232558139536,0.0,0.0,0.0,0.18604651162790697,1,0.0,3,python,Python/28,28
1,0,0,0,0,0,0,0,1,1,1,0,0,16,1,0,0,64,39,25,8,0.609375,0.390625,0.0,0.015625,0.25,0.0,0.0,0.0,0.125,1,0.0,3,python,Python/29,29
1,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,1,31,20,11,7,0.6451612903225806,0.3548387096774194,0.0,0.0,0.22580645161290322,0.0,0.0,0.0,0.22580645161290322,1,0.0,2,python,Python/30,30
1,0,0,0,2,1,0,0,3,1,1,0,2,8,4,0,7,55,36,19,8,0.6545454545454545,0.34545454545454546,0.05454545454545454,0.01818181818181818,0.14545454545454545,0.0,0.0,0.0,0.14545454545454545,4,0.0,7,python,Python/31,31
2,0,4,4,1,0,2,0,2,7,7,4,6,45,6,0,9,187,124,63,10,0.6631016042780749,0.33689839572192515,0.016042780748663103,0.0374331550802139,0.24064171122994651,0.0,0.0213903743315508,0.0,0.053475935828877004,4,0.0,19,python,Python/32,32
1,0,2,2,0,0,0,0,1,2,2,2,0,10,1,0,2,49,32,17,8,0.6530612244897959,0.3469387755102041,0.0,0.04081632653061224,0.20408163265306123,0.0,0.04081632653061224,0.0,0.16326530612244897,1,0.0,4,python,Python/33,33
1,0,0,0,0,0,0,0,1,3,3,0,0,7,1,0,0,32,19,13,10,0.59375,0.40625,0.0,0.09375,0.21875,0.0,0.0,0.0,0.3125,1,0.0,2,python,Python/34,34
1,0,2,2,1,1,0,0,1,0,0,2,0,12,3,0,1,44,29,15,8,0.6590909090909091,0.3409090909090909,0.045454545454545456,0.0,0.2727272727272727,0.0,0.045454545454545456,0.0,0.18181818181818182,3,0.0,6,python,Python/35,35
1,0,3,3,1,2,0,0,1,5,5,3,2,24,4,0,7,114,75,39,10,0.6578947368421053,0.34210526315789475,0.02631578947368421,0.043859649122807015,0.21052631578947367,0.0,0.02631578947368421,0.0,0.08771929824561403,4,0.0,10,python,Python/36,36
1,0,3,3,1,1,0,0,1,6,6,3,0,27,3,0,4,118,79,39,9,0.6694915254237288,0.3305084745762712,0.01694915254237288,0.05084745762711865,0.2288135593220339,0.0,0.025423728813559324,0.0,0.07627118644067797,3,0.0,10,python,Python/37,37
2,0,2,2,0,0,0,0,2,8,8,2,6,30,2,0,10,165,110,55,13,0.6666666666666666,0.3333333333333333,0.0,0.048484848484848485,0.18181818181818182,0.0,0.012121212121212121,0.0,0.07878787878787878,1,0.0,11,python,Python/38,38
2,0,1,1,4,1,1,0,4,6,6,1,4,27,8,0,17,170,111,59,15,0.6529411764705882,0.34705882352941175,0.03529411764705882,0.03529411764705882,0.1588235294117647,0.0,0.0058823529411764705,0.0,0.08823529411764706,7,0.0,16,python,Python/39,39
1,0,0,0,1,3,0,0,2,6,6,0,4,23,5,0,5,107,71,36,14,0.6635514018691588,0.3364485981308411,0.037383177570093455,0.056074766355140186,0.21495327102803738,0.0,0.0,0.0,0.1308411214953271,5,0.0,7,python,Python/40,40
1,0,0,0,0,0,0,0,1,0,0,0,1,4,1,0,1,20,12,8,5,0.6,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.25,1,0.0,2,python,Python/41,41
1,0,0,0,0,0,0,0,1,0,0,0,1,6,1,0,1,31,20,11,7,0.6451612903225806,0.3548387096774194,0.0,0.0,0.1935483870967742,0.0,0.0,0.0,0.22580645161290322,1,0.0,2,python,Python/42,42
1,0,0,0,1,2,0,0,2,3,3,0,2,14,4,0,4,68,45,23,11,0.6617647058823529,0.3382352941176471,0.04411764705882353,0.04411764705882353,0.20588235294117646,0.0,0.0,0.0,0.16176470588235295,4,0.0,6,python,Python/43,43
1,0,2,2,0,0,1,0,1,1,1,2,2,15,2,0,2,56,36,20,10,0.6428571428571429,0.35714285714285715,0.017857142857142856,0.017857142857142856,0.26785714285714285,0.0,0.03571428571428571,0.0,0.17857142857142858,2,0.0,6,python,Python/44,44
1,0,0,0,0,0,0,0,1,0,0,0,2,5,1,0,1,21,14,7,6,0.6666666666666666,0.3333333333333333,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,0.2857142857142857,1,0.0,2,python,Python/45,45
1,0,1,1,1,1,0,0,2,3,3,1,4,19,3,0,13,119,81,38,12,0.680672268907563,0.31932773109243695,0.01680672268907563,0.025210084033613446,0.15966386554621848,0.0,0.008403361344537815,0.0,0.10084033613445378,3,0.0,8,python,Python/46,46
1,0,1,1,1,0,0,0,2,5,5,1,7,17,3,0,7,97,62,35,15,0.6391752577319587,0.36082474226804123,0.010309278350515464,0.05154639175257732,0.17525773195876287,0.0,0.010309278350515464,0.0,0.15463917525773196,2,0.0,6,python,Python/47,47
1,0,0,0,1,1,0,0,2,3,3,0,2,13,3,0,3,64,41,23,12,0.640625,0.359375,0.03125,0.046875,0.203125,0.0,0.0,0.0,0.1875,3,0.0,5,python,Python/48,48
1,0,2,2,0,1,0,0,1,1,1,2,2,13,2,0,2,52,34,18,9,0.6538461538461539,0.34615384615384615,0.019230769230769232,0.019230769230769232,0.25,0.0,0.038461538461538464,0.0,0.17307692307692307,2,0.0,5,python,Python/49,49
