function_count,parameter_count,variable_count,declaration_count,if_count,for_count,while_count,switch_count,return_count,call_count,argument_count,assignment_count,binary_expression_count,identifier_count,block_count,expression_count,literal_count,ast_nodes,leaf_nodes,internal_nodes,max_depth,leaf_ratio,internal_ratio,branch_density,call_density,identifier_density,expression_density,variable_density,statement_density,nesting_factor,cyclomatic_estimate,avg_parameters,language,repository,function,SSI
1,2,2,1,1,0,0,0,0,4,4,0,1,15,2,2,2,77,53,24,10,0.6883116883116883,0.3116883116883117,0.0129870129870129,0.0519480519480519,0.1948051948051948,0.0259740259740259,0.0259740259740259,0.0259740259740259,0.1298701298701298,2,2.0,java,molgenis/molgenis,L1Cache.put,-1.4077707731680709
1,0,7,4,1,1,0,0,1,1,1,0,4,19,2,1,3,97,64,33,9,0.6597938144329897,0.3402061855670103,0.0206185567010309,0.0103092783505154,0.1958762886597938,0.0103092783505154,0.0721649484536082,0.0103092783505154,0.0927835051546391,3,0.0,java,belaban/JGroups,RequestTable.size,-0.685909864621677
1,3,8,4,0,0,0,0,0,17,19,0,0,42,1,3,16,283,206,77,13,0.7279151943462897,0.2720848056537102,0.0,0.0600706713780918,0.1484098939929328,0.0106007067137809,0.0282685512367491,0.0106007067137809,0.0459363957597173,1,3.0,java,googleads/googleads-java-lib,DownloadCriteriaReportWithAwql.runExample,0.8101289704970405
1,4,0,0,0,0,0,0,1,2,2,0,0,12,1,0,0,68,47,21,8,0.6911764705882353,0.3088235294117647,0.0,0.0294117647058823,0.1764705882352941,0.0,0.0,0.0,0.1176470588235294,1,4.0,java,Azure/azure-sdk-for-java,NetworkInterfacesInner.updateTagsAsync,-2.0417410131888984
2,6,4,2,6,0,0,0,3,12,20,0,6,47,10,1,12,427,293,134,16,0.6861826697892272,0.3138173302107728,0.0140515222482435,0.0281030444964871,0.1100702576112412,0.0023419203747072,0.009367681498829,0.0023419203747072,0.0374707259953161,7,3.0,java,Azure/azure-sdk-for-java,BlobContainersInner.extendImmutabilityPolicyWithServiceResponseAsync,2.7818867164283207
1,0,2,1,0,0,0,0,2,7,7,2,2,15,5,2,2,121,76,45,14,0.628099173553719,0.371900826446281,0.0,0.0578512396694214,0.1239669421487603,0.0165289256198347,0.0165289256198347,0.0165289256198347,0.1157024793388429,1,0.0,java,teatrove/teatrove,CompiledTemplate.getTemplateClass,-1.0319558848221118
1,2,16,8,5,0,1,0,1,45,48,1,10,127,16,11,12,683,472,211,16,0.6910688140556369,0.3089311859443631,0.0087847730600292,0.0658857979502196,0.1859443631039531,0.0161054172767203,0.0234260614934114,0.0161054172767203,0.0234260614934114,7,2.0,java,alkacon/opencms-core,CmsSearchReplaceThread.searchResources,6.739229797149537
1,1,0,0,0,0,0,0,1,1,1,0,3,11,1,0,3,60,40,20,10,0.6666666666666666,0.3333333333333333,0.0,0.0166666666666666,0.1833333333333333,0.0,0.0,0.0,0.1666666666666666,1,1.0,java,Devskiller/jfairy,PlNationalIdentificationNumberProvider.calculateSexCode,-2.323694754974305
1,5,20,10,1,0,0,0,1,19,27,5,3,84,3,20,5,391,269,122,12,0.6879795396419437,0.3120204603580562,0.0025575447570332,0.0485933503836317,0.2148337595907928,0.0511508951406649,0.0511508951406649,0.0511508951406649,0.0306905370843989,2,5.0,java,cdk/cdk,AtomTetrahedralLigandPlacer3D.calculate3DCoordinates3,3.3490041933539336
1,1,4,2,2,0,2,1,3,3,3,2,3,24,4,2,6,157,104,53,12,0.6624203821656051,0.3375796178343949,0.0254777070063694,0.019108280254777,0.1528662420382165,0.0127388535031847,0.0254777070063694,0.0127388535031847,0.0764331210191082,5,1.0,java,google/j2objc,RedundentExprEliminator.isParam,0.806523816592966
