function_count,parameter_count,variable_count,declaration_count,if_count,for_count,while_count,switch_count,return_count,call_count,argument_count,assignment_count,binary_expression_count,identifier_count,block_count,expression_count,literal_count,ast_nodes,leaf_nodes,internal_nodes,max_depth,leaf_ratio,internal_ratio,branch_density,call_density,identifier_density,expression_density,variable_density,statement_density,nesting_factor,cyclomatic_estimate,avg_parameters,LOC,language,task_id,task_idx,SSI
1,0,1,1,2,2,0,0,2,3,3,1,1,25,5,0,2,100,63,37,13,0.63,0.37,0.04,0.03,0.25,0.0,0.01,0.0,0.13,5,0.0,9,python,Python/0,0,-0.46919829343507585
1,0,3,3,2,1,0,0,1,5,5,3,0,30,5,0,7,139,89,50,15,0.6402877697841727,0.3597122302158273,0.0215827338129496,0.0359712230215827,0.2158273381294964,0.0,0.0215827338129496,0.0,0.1079136690647482,4,0.0,16,python,Python/1,1,-0.14496898916741527
1,0,0,0,0,0,0,0,1,0,0,0,1,5,1,0,1,23,14,9,5,0.6086956521739131,0.391304347826087,0.0,0.0,0.217391304347826,0.0,0.0,0.0,0.217391304347826,1,0.0,2,python,Python/2,2,-3.1685117289815166
1,0,1,1,1,1,0,0,2,0,0,1,0,13,3,0,4,59,37,22,8,0.6271186440677966,0.3728813559322034,0.0338983050847457,0.0,0.2203389830508474,0.0,0.0169491525423728,0.0,0.135593220338983,3,0.0,8,python,Python/3,3,-1.5412061207465824
1,0,1,1,0,0,0,0,1,5,4,1,3,20,1,0,0,76,47,29,10,0.618421052631579,0.3815789473684211,0.0,0.0657894736842105,0.2631578947368421,0.0,0.0131578947368421,0.0,0.131578947368421,1,0.0,4,python,Python/4,4,-1.8991776404451937
1,0,1,1,1,1,0,0,2,3,3,1,0,24,3,0,2,111,69,42,8,0.6216216216216216,0.3783783783783784,0.018018018018018,0.027027027027027,0.2162162162162162,0.0,0.009009009009009,0.0,0.072072072072072,3,0.0,10,python,Python/5,5,-1.1115465656750891
2,0,3,3,1,1,0,0,2,3,3,3,0,27,5,0,6,121,79,42,12,0.6528925619834711,0.3471074380165289,0.0165289256198347,0.024793388429752,0.2231404958677686,0.0,0.024793388429752,0.0,0.0991735537190082,3,0.0,13,python,Python/6,6,-0.403264316285443
1,0,0,0,0,0,0,0,1,0,0,0,0,15,1,0,0,59,36,23,8,0.6101694915254238,0.3898305084745763,0.0,0.0,0.2542372881355932,0.0,0.0,0.0,0.135593220338983,1,0.0,3,python,Python/7,7,-2.6053357129763506
1,0,2,2,0,1,0,0,1,0,0,2,0,20,2,0,2,71,45,26,8,0.6338028169014085,0.3661971830985915,0.0140845070422535,0.0,0.2816901408450704,0.0,0.028169014084507,0.0,0.1126760563380281,2,0.0,8,python,Python/8,8,-1.6596465816553931
1,0,4,4,1,1,0,0,1,2,2,4,0,24,4,0,2,95,60,35,11,0.631578947368421,0.3684210526315789,0.0210526315789473,0.0210526315789473,0.2526315789473684,0.0,0.0421052631578947,0.0,0.1157894736842105,3,0.0,11,python,Python/9,9,-0.7413474078256138
2,0,1,1,1,0,1,0,3,1,1,1,1,19,4,0,6,111,71,40,9,0.6396396396396397,0.3603603603603603,0.018018018018018,0.009009009009009,0.1711711711711711,0.0,0.009009009009009,0.0,0.081081081081081,3,0.0,10,python,Python/10,10,-0.749832134676039
2,0,0,0,1,0,0,0,3,3,2,0,0,22,4,0,3,100,65,35,10,0.65,0.35,0.01,0.03,0.22,0.0,0.0,0.0,0.1,2,0.0,8,python,Python/11,11,-1.339262683756516
1,0,1,1,2,1,0,0,2,3,2,1,0,22,4,0,1,91,56,35,9,0.6153846153846154,0.3846153846153846,0.0329670329670329,0.0329670329670329,0.2417582417582417,0.0,0.0109890109890109,0.0,0.0989010989010989,4,0.0,8,python,Python/12,12,-0.9584629488102447
