language,repository_name,func_name,LOC,Cyclomatic_Complexity
java,molgenis/molgenis,L1Cache.put,10,2
java,belaban/JGroups,RequestTable.size,9,4
java,googleads/googleads-java-lib,DownloadCriteriaReportWithAwql.runExample,43,3
java,Azure/azure-sdk-for-java,NetworkInterfacesInner.updateTagsAsync,3,1
java,Azure/azure-sdk-for-java,BlobContainersInner.extendImmutabilityPolicyWithServiceResponseAsync,34,8
java,teatrove/teatrove,CompiledTemplate.getTemplateClass,15,4
java,alkacon/opencms-core,CmsSearchReplaceThread.searchResources,61,15
java,Devskiller/jfairy,PlNationalIdentificationNumberProvider.calculateSexCode,3,2
java,cdk/cdk,AtomTetrahedralLigandPlacer3D.calculate3DCoordinates3,37,2
java,google/j2objc,RedundentExprEliminator.isParam,27,8
java,b3dgs/lionengine,MouseHeadless.mouseReleased,7,1
java,deeplearning4j/deeplearning4j,BaseSparseNDArrayCOO.getIncludedIndices,41,13
java,alkacon/opencms-core,CmsPublishSelectPanel.getResourcesToRemove,5,1
java,lessthanoptimal/ejml,SimpleBase.transpose,5,1
java,HeidelTime/heideltime,StringUtils.join,22,4
java,OpenLiberty/open-liberty,HttpMessageContextImpl.redirect,10,3
java,jOOQ/jOOR,Reflect.on,4,1
java,OpenLiberty/open-liberty,JsApiHdrsImpl.setReverseRoutingPath,26,14
java,Dempsy/dempsy,MessageProcessor.invokeOutput,13,5
java,eclipse/xtext-extras,InternalXbaseParser.ruleXImportDeclaration,264,64
java,alkacon/opencms-core,CmsRebuildSearchIndexDialog.createDialogHtml,22,5
java,fabric8io/docker-maven-plugin,ImageArchiveUtil.readManifest,34,10
java,OpenLiberty/open-liberty,ServiceProviderFinderFactory.setServiceProviderFinder,4,1
java,h2oai/h2o-3,RequestServer.maybeLogRequest,15,4
java,aws/aws-sdk-java,ObjectMetadata.getContentRange,15,3
java,OpenLiberty/open-liberty,RemoteMessageRequest.getRemoteEngineUuid,9,5
java,threerings/narya,ObjectOutputStream.writeObject,13,4
java,dropbox/dropbox-sdk-java,DropboxBrowse.slurpUtf8Part,22,4
java,OpenLiberty/open-liberty,MethodAttribUtils.getXMLAsynchronousMethods,79,41
java,Samsung/GearVRf,OrientedLayout.setOrientation,8,3
java,asterisk-java/asterisk-java,AgiServerThread.startup,13,3
java,amzn/ion-java,SharedSymbolTable.newSharedSymbolTable,20,5
java,elki-project/elki,NearestNeighborAffinityMatrixBuilder.containsIndex,8,3
java,eclipse/xtext-extras,StandardTypeReferenceOwner.newReferenceTo,8,3
java,jMotif/SAX,EuclideanDistance.distance,3,1
java,headius/invokebinder,Signature.collect,39,10
